case	timepoint	slide	ratio
36	B	Slide1_ROI01_segment1.png	80.0852
36	B	Slide1_ROI02_segment1.png	72.6785
36	B	Slide1_ROI03_segment1.png	68.8109
36	B	Slide1_ROI04_segment1.png	73.0967
36	R	Slide1_ROI05_segment1.png	45.595
36	R	Slide1_ROI06_segment1.png	39.6748
36	R	Slide1_ROI07_segment1.png	64.0715
36	R	Slide1_ROI08_segment1.png	73.9991
75	B	Slide2_ROI04_segment1.png	90.1732
75	B	Slide2_ROI05_segment1.png	18.9085
75	B	Slide2_ROI06_segment1.png	18.7914
75	B	Slide2_ROI07_segment1.png	102.679
75	B	Slide2_ROI08_segment1.png	42.8025
75	B	Slide2_ROI09_segment1.png	68.4738
118	B	Slide2_ROI01_segment1.png	84.8162
118	B	Slide2_ROI02_segment1.png	107.9436
118	B	Slide2_ROI03_segment1.png	90.7366
118	B	Slide2_ROI04_segment1.png	402.167
118	B	Slide2_ROI05_segment1.png	351.1208
118	B	Slide2_ROI07_segment1.png	261.4794
118	B	Slide2_ROI08_segment1.png	259.1546
77	R	Slide1_ROI01_segment1.png	16.9334
77	R	Slide1_ROI02_segment1.png	68.8369
77	R	Slide1_ROI03_segment1.png	7.651
77	B	Slide1_ROI04_segment1.png	40.9197
77	B	Slide1_ROI05_segment1.png	93.3589
77	B	Slide1_ROI06_segment1.png	155.4012
77	B	Slide1_ROI07_segment1.png	32.7922
77	B	Slide1_ROI08_segment1.png	21.6312
77	B	Slide1_ROI10_segment1.png	40.1407
82	B	Slide1_ROI02_segment1.png	359.5294
82	B	Slide1_ROI03_segment1.png	312.5612
82	B	Slide1_ROI04_segment1.png	171.0895
82	B	Slide1_ROI05_segment1.png	288.8523
82	R	Slide2_ROI01_segment1.png	11.4284
82	R	Slide2_ROI02_segment1.png	7.0095
82	R	Slide2_ROI03_segment1.png	47.6414
82	R	Slide2_ROI04_segment1.png	19.5076
82	R	Slide2_ROI05_segment1.png	52.8655
82	R	Slide2_ROI06_segment1.png	18.4946
82	R	Slide2_ROI07_segment1.png	7.9536
130	B	Slide2_ROI01_segment1.png	47.1406
130	B	Slide2_ROI02_segment1.png	37.5479
130	B	Slide2_ROI04_segment1.png	153.5302
130	B	Slide2_ROI05_segment1.png	141.676
130	B	Slide2_ROI06_segment1.png	97.0194
130	B	Slide2_ROI07_segment1.png	121.2821
6	R	Slide1_ROI01_segment1.png	211.2587
